家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先
2.8,98101551,2022年12月06日,2022年12月20日,福岡市早良区祖原１７－８  mapを見る,ローズシャトー  303,福岡市空港線西新駅 徒歩8分 城西３丁目バス停 徒歩4分 駅までmap 福岡市空港線藤崎駅 徒歩11分 駅までmap ,17㎡ / 約5.14坪,,1K,Ｋ2／和4.5, 南,,,,無,,　,,,無,無,,無,,無,無,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上3階建,3階部分,1979[S54]年6月,空家,相談　2020年5月19日,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 洗面台　 洗濯機置場　 インターネット使い放題　,リノベーション　 南向き　,地下鉄西新駅まで徒歩８分！通勤通学にも便利な立地ですよ。バス停も近いです。スーパー、コンビニ、ドラックストアも徒歩圏内でちょっとした買い物に便利ですね。,専任媒介,,"
"
3.1,99318950,2022年12月06日,2022年12月20日,福岡市早良区原８丁目17-4  mapを見る,グランディール原  104,福岡市七隈線賀茂駅 徒歩18分 西鉄バス(福岡市早良区) 原八丁目バス停 徒歩1分 駅までmap ,23.18㎡ / 約7.01坪,,1K,洋7.0・K3.0, 南東,,,,空有　7700円,,　,,,1.55万円,3.1万円,,無,,無,2000円,無,有 【株式会社JACCS】[初回保証料1万円]【株式会社Casa】[初回保証料]賃料等合計額の50％(最低保証料2万円)。[年間保証料]1万円。※契約者や条件によっては、内容が変更になる場合があります。,,有、2年、当社指定（例）※契約者や条件によっては、内容が変更になる場合があります。,0.5ヶ月 ,カギ交換費用：1万7600円,,,,2年,,,,木造,,,地上2階建,1階部分,1999[H11]年2月,居住中,期日指定　2023年1月8日上旬,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 ＣＡＴＶ　 ＢＳ端子　 室内洗濯機置場　 バルコニー　 駐輪場　 ２口コンロ　,角部屋　,駐車場：平置・舗装・空有り・7700円お問合せ番号 970203-104 ●無料ネット:J:COM 320M Wi-Fi付き 0120-999-000。 / 町会費300円（月額） / 保険料800円（月額） / 保険:800円/月,貸主,,"
"
5.9,99281754,2022年12月05日,2022年12月19日,福岡市中央区平尾１丁目13-12  mapを見る,セントフォーラム平尾  304,福岡市七隈線薬院駅 徒歩7分 駅までmap 西鉄天神大牟田線薬院駅 徒歩8分 駅までmap 福岡市七隈線薬院大通駅 徒歩10分 駅までmap ,壁芯35.23㎡ / 約10.66坪,,1DK,ＤＫ6.7／洋8.4,無 南東,,,,空有　1万7600円,機械,　,,2ヶ月 3万2000円,1ヶ月 / 5.9万円,2ヶ月 / 11.8万円,実費,無,,無,5000円,無,有 全保連※契約者や条件によっては、内容が変更になる場合があります。,初回契約時：50％、更新時：10000円,有※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万5950円,,水町費（1人入居）：3000円 / 月水町費（2人入居）：4000円 / 月,,2年,,,,ＳＲＣ,,,地上13階建,3階部分,1998[H10]年2月,空家,相談　,都市ガス　 エアコン　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 洗面所　 シャンプードレッサー　 洗濯機置場　 室内洗濯機置場　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 防犯カメラ　 防犯セキュリティ　 光ファイバー　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　 閑静住宅街　 外観タイル張り　,"住　居：住宅総合保険加入／実費精算／大型バイク駐輪不可／水町費：1名の場合月額3,000円／2名の場合月額4,000円／入居時鍵交換代：15,950円(税込)／入居時清掃代：38,500円(税込)／1年未満の退居時、違約金家賃の1ヶ月分　駐車場：敷金2ヶ月／ネームプレート3,300円(税込)／機械式 屋根有・無：17,600円(税込)",専任媒介,,"
"
3,99315074,2022年12月06日,2022年12月20日,福岡市南区井尻５丁目20-36  mapを見る,エレガンテ井尻  203,西鉄天神大牟田線井尻駅 徒歩6分 駅までmap 鹿児島本線笹原駅 徒歩12分 駅までmap 西鉄天神大牟田線大橋駅 徒歩21分 駅までmap ,20㎡ / 約6.05坪,,1K,洋 6,,,,,,,　,,,無,無,,無,,3000円,無,無,有 フォーシーズ・全保連※契約者や条件によっては、内容が変更になる場合があります。,,有、2年※契約者や条件によっては、内容が変更になる場合があります。,5500円 ,,,２４時間サポート：880円 / 月専用家財保険（最低月額７７０円～）：740円 / 月町費：300円 / 月,,1年,,,,木造,,,地上2階建,1階部分,2001[H13]年3月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ガスコンロ設置可　 洗濯機置場　 ロフト　 フローリング　 バルコニー　 出窓　,角部屋　 最上階　,写真は別部屋　現状優先,一般媒介,,"
"
7.6,97629116,2022年12月06日,2022年12月20日,福岡市中央区赤坂１丁目１５－１５  mapを見る,平和台ハイツ  608,福岡市空港線赤坂駅 徒歩4分 平和台通りバス停 徒歩3分 駅までmap 福岡市空港線大濠公園駅 徒歩10分 駅までmap ,46.2㎡ / 約13.98坪,,1LDK,洋7／ＬＤＫ12.1, 南,,,,空無,,　,,,無,1ヶ月 / 7.6万円,,無,,無,3000円,無,,,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上9階建,6階部分,1978[S53]年5月,空家,相談　2022年9月26日,都市ガス　 電気　 上水道　 下水道　 エアコン　 シャワー　 ＣＡＴＶ　 室内洗濯機置場　 フローリング　 エレベーター　 駐輪場　,南向き　,地下鉄空港線赤坂駅徒歩4分の立地です！大通りから１歩入ったところにあるのでとても静かな環境で過ごせますよ！全戸南向きです！駐車場の空きについては要確認,専任媒介,,"
"
4,99011265,2022年12月05日,2022年12月19日,福岡市中央区春吉２丁目18-4  mapを見る,ピュアドーム天神アクロス  607,福岡市七隈線渡辺通駅 徒歩4分 駅までmap ,17.08㎡ / 約5.17坪,,1K,, 1.5㎡,,,,無,,　,,,無,無,,無,,無,3000円,無,有 確認ください（全保連：月額合計100％ジェイリース：月額合計80％日本セーフティ：月額合計80％～100％）※契約者や条件によっては、内容が変更になる場合があります。,,有、17000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万6500円,,共益費：3000円 / 月シード24：840円 / 月口座振替手数料：400円 / 月,,1年,,巡回,,ＳＲＣ,,,地上10階建,6階部分,1993[H5]年4月,居住中,相談　,エアコン　 給湯　 トイレ　 バス・トイレ別　 ＢＳ端子　 収納スペース　 ＩＨクッキングヒーター　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 オール電化　,,退去時クリーニング：40000円,代理,,"
"
6.6,99252802,2022年12月06日,2022年12月20日,福岡市南区大橋２丁目19-10  mapを見る,アルファレガロ大橋  1103,西鉄天神大牟田線大橋駅 徒歩6分 駅までmap 西鉄天神大牟田線高宮駅 徒歩24分 駅までmap 西鉄天神大牟田線井尻駅 徒歩20分 駅までmap 西鉄大橋駅（西鉄バス）徒歩6分,25.07㎡ / 約7.58坪,,1K,洋7, 東,,,,空有　1万5000円,,　,,,1ヶ月,1ヶ月,,無,,5000円,,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,抗菌処理費：1万4000円,,,,2年,,,,ＲＣ,,,地上12階建,11階部分,2022[R4]年7月（新築）,空家,相談　,都市ガス　 エアコン　 追焚機能　 バス・トイレ別　 ＢＳ端子　 ＣＳ　 ＩＨクッキングヒーター　 洗面所　 洗面台　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 24時間換気システム　,日当り良好　,,貸主,,"
"
7.6,98273644,2022年12月05日,2022年12月19日,福岡市東区箱崎１丁目６－１６  mapを見る,Ａｄｅｎ箱崎駅前  1503,鹿児島本線箱崎駅 徒歩1分 箱崎駅西口バス停 徒歩1分 駅までmap 福岡市箱崎線箱崎九大前駅 徒歩12分 駅までmap ,37.05㎡ / 約11.21坪,,1LDK,ＬＤＫ9.4／洋5, 西,,,,空有　1万2100円,,　,,1万1000円,無,無,,無,,無,5000円,無,,,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＳＲＣ,,,地上15階建,15階部分,2008[H20]年2月,空家,相談　2022年11月29日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＢＳ端子　 ＣＳ　 ＩＨクッキングヒーター　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 照明器具付き　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,, 箱崎駅目の前！充実設備と抜群の立地で快適な生活が送れそうですね！駐車場の空きについては要確認,専任媒介,,"
"
4.2,99318722,2022年12月05日,2022年12月19日,福岡市博多区住吉５丁目6-27  mapを見る,ピュアドームアーデント博多  505,鹿児島本線博多駅 徒歩14分 駅までmap 西鉄天神大牟田線西鉄平尾駅 徒歩21分 駅までmap 住吉四丁目バス停 徒歩5分 ,壁芯19.23㎡ / 約5.82坪,,1K,, 北東 2.8㎡,,,,無,,　,管理会社　(株)コミュニティサービス　092－781－7744,,無,無,実費,無,,5000円,無,無,有（要確認）※契約者や条件によっては、内容が変更になる場合があります。,,有、要確認（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,家財保険：2100円 / 月水道代：2800円 / 月,,2年,,巡回,,ＲＣ,,,地上7階建,5階部分,1999[H11]年9月,空家,予定　2023年1月中旬,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 ＣＡＴＶ　 収納スペース　 システムキッチン　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 駐輪場　 全居室フローリング　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　 日当り良好　 閑静住宅街　 分譲タイプ　 外観タイル張り　 眺望良好　,"担当:フクシゲ080-5265-1235室内の内覧は2023年1月1日以降です。1：鍵交換代　15,000円（税別）2：家賃保証会社　ニッポンインシュア（株）　保証料は月額、管理費合計の３０％書式のダウンロード先→　https://www.nipponinsure.jp/document/3：火災保険・家賃引き落とし手数料・家賃保証更新料　月額　2,100円4：事務手数料　10,000円　（税別）5：退去時　家賃と管理料込みの1ヶ月分（室内清掃代として）6：1年未満の退去は違約金　家賃と管理料込みの2ヶ月分7：2年未満の退去は違約金　家賃と管理料込みの1ヶ月分8：賃貸契約更新　内容（自動更新、更新料なし）以上。ご準備頂くもの。個人契約の場合認印　/　身分証明書のコピー（免許証の場合は裏表のコピー）社会保険証のコピーは、お持ちの方のみご提出ください。保証人が必要な場合：実印　/　印鑑証明　/　身分証明書のコピー（免許証の場合は裏表のコピー）  法人・個人事業の契約の場合法人：会社の謄本　/　会社の印鑑個人事業主：所得証明証　/　会社の印鑑法人も個人も連帯保証人必須：実印　/　印鑑証明　/　身分証明書のコピー（免許証の場合は裏表のコピー）をご用意ください。",貸主,福重（フクシゲ）,"
										TEL：080-5265-1235
										メールアドレス：2525fukufuku@gmail.com
"
3.6,99244398,2022年12月06日,2022年12月20日,福岡市博多区三筑２丁目４－２  mapを見る,三筑グローリーハイツ  4006,西鉄天神大牟田線雑餉隈駅 徒歩12分 麦野４丁目バス停 徒歩5分 駅までmap 鹿児島本線南福岡駅 徒歩15分 駅までmap ,30㎡ / 約9.08坪,,2DK,和4.5／和6／ＤＫ4.5, 北,,,,空有　6600円,,　,,,無,1ヶ月 / 3.6万円,,無,,無,3000円,無,,,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,鉄骨造,,,地上5階建,4階部分,1987[S62]年7月,空家,相談　2022年9月17日,都市ガス　 電気　 上水道　 エアコン　 給湯　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 洗濯機置場　 エレベーター　 駐輪場　,,嬉しいエレベーター付き！駐車場の空きについては要確認,専任媒介,,"
"
