家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
4.0,98924797,2022年12月05日,2022年12月19日,福岡市中央区六本松４丁目６－３３  周辺mapを見る,モントーレ六本松  305,福岡市七隈線六本松駅 徒歩10分 福岡市七隈線別府駅 徒歩13分 福岡市七隈線桜坂駅 徒歩13分 ,21㎡ / 約6.35坪,nan,ワンルーム,nan, 南,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上4階建,3階部分,1988[S63]年3月,空家,相談　2022年4月14日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 室内洗濯機置場　 バルコニー　 駐輪場　 インターネット使い放題　,ペット相談可　 南向き　,大型商業施設へも徒歩で簡単アクセス★,専任媒介,nan,"
",中央
4.3,99317606,2022年12月05日,2022年12月19日,福岡市中央区大手門３丁目1-3  mapを見る,ニューライフ大濠  305,福岡市空港線大濠公園駅 徒歩5分 駅までmap 福岡市空港線赤坂駅 徒歩13分 駅までmap 大手門三丁目バス停 徒歩1分 ,壁芯24.6㎡ / 約7.44坪,nan,1K,nan, 南,nan,nan,nan,空無,nan,　,nan,nan,無,無,nan,無,nan,無,5000円,無,有 日本セーフティー・Casa（（毎年更新料10000円））※契約者や条件によっては、内容が変更になる場合があります。,家賃総額50％～,有、17000円、2年、エイワン少短（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料11000円 ,安心サポート：880円,nan,鍵交換：3万3000円 / 月エアコン洗浄：1万1000円 / 月室内消毒（任意）：1万4300円 / 月,nan,2年,nan,日勤,nan,ＳＲＣ,nan,nan,地上11階建,3階部分,1985[S60]年5月,空家,相談　（12月15日以降入居可能）,都市ガス　 エアコン　 給湯　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 ＩＨクッキングヒーター　 室内洗濯機置場　 ディンプルキー　 エレベーター　 宅配ボックス　 駐輪場　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　 日当り良好　 分譲タイプ　 事務所使用可　 眺望良好　 保証人不要　,☆敷金・礼金ゼロ☆保証人不要☆簡易事務所可OK！駅チカ,代理,孫,"
										TEL：092-406-9073
",中央
7.0,99144395,2022年12月06日,2022年12月20日,福岡市中央区高砂１丁目５－１３  mapを見る,オリエンタル天神南  201,福岡市七隈線渡辺通駅 徒歩5分 渡辺通１丁目十八銀行バス停 徒歩2分 駅までmap 福岡市七隈線薬院駅 徒歩6分 駅までmap ,37㎡ / 約11.19坪,nan,1LDK,ＬＤＫ8.1／洋5.7, 西,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月 / 7万円,nan,無,nan,無,3000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,鉄骨造,nan,nan,地上4階建,2階部分,2012[H24]年3月,居住中,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 ２口コンロ　 独立洗面脱衣所　,nan,近くにはスーパーサニーも徒歩圏内にあり、地下鉄七隈線、西鉄大牟田線も近くです！,専任媒介,nan,"
",中央
3.7,99311469,2022年12月06日,2022年12月16日,福岡市中央区渡辺通２丁目3-19  周辺mapを見る,ロマネスク天神南  202号,西鉄天神大牟田線薬院駅 徒歩4分 ,19.23㎡ / 約5.82坪,nan,ワンルーム,洋 7, 北西,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,3000円,無,無,有 ５０％～※契約者や条件によっては、内容が変更になる場合があります。,nan,有※契約者や条件によっては、内容が変更になる場合があります。,無,入居時クリーニング代：3万3000円,nan,くらしーど２４：880円 / 月,nan,2年,nan,日勤,nan,ＲＣ,nan,nan,地上7階建,2階部分,1985[S60]年8月,空家,相談　,エアコン　 トイレ　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 収納スペース　 バルコニー　 エレベーター　 オートロック　 モニター付きオートロック　 駐輪場　 コインランドリー　 オール電化　,分譲タイプ　 外観タイル張り　 事務所使用可　 高齢者相談　,担当高野　０９０－５４８４－４８６６事務所使用相談　,代理,高野,"
										TEL：092-523-2511
",中央
7.6,99013895,2022年12月05日,2022年12月19日,福岡市中央区赤坂１丁目９－１  mapを見る,フドウ赤坂  906,福岡市空港線赤坂駅 徒歩3分 駅までmap 西鉄天神大牟田線西鉄福岡（天神）駅 徒歩14分 駅までmap 福岡市七隈線薬院大通駅 徒歩15分 駅までmap ,47.22㎡ / 約14.28坪,nan,2DK,nan, 南,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,4000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上11階建地下1階建,9階部分,1973[S48]年11月,空家,相談　,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 追焚機能　 トイレ　 シャワー　 ＣＡＴＶ　 ガスコンロ設置可　 シャンプードレッサー　 室内洗濯機置場　 照明器具付き　 エレベーター　 独立洗面脱衣所　 防犯カメラ　,南向き　,赤坂駅徒歩３分とアクセス抜群です♪下には２４時間のスーパーもあるので利便性も抜群！！「スマ特プラン」対象物件家財保険料と仲介手数料だけで入居可能！,専任媒介,nan,"
",中央
3.1,99268296,2022年12月05日,2022年12月19日,福岡市中央区荒戸１丁目7-16  mapを見る,ダイナコート西公園トレンドゥ  706,福岡市空港線大濠公園駅 徒歩7分 駅までmap 福岡市空港線唐人町駅 徒歩12分 駅までmap 福岡市七隈線六本松駅 徒歩27分 駅までmap ,壁芯16.47㎡ / 約4.98坪,nan,1K,nan,nan,nan,国立福岡教育大学教育学部附属福岡小学校　距離970ｍ,国立福岡教育大学教育学部附属福岡中学校　距離676ｍ,空無,nan,　,nan,nan,無,無,nan,無,nan,5000円,無,無,有 アーク※契約者や条件によっては、内容が変更になる場合があります。,nan,有※契約者や条件によっては、内容が変更になる場合があります。,旧賃料11000円 ,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上13階建,7階部分,1990[H2]年10月,空家,即時　,都市ガス　 エアコン　 トイレ　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 収納スペース　 システムキッチン　 フローリング　 バルコニー　 オートロック　 駐輪場　 防犯カメラ　 全居室フローリング　,nan,nan,一般媒介,翁長　平日9～19時,"
										TEL：080-6144-2740
",中央
8.1,98612115,2022年12月05日,2022年12月19日,福岡市中央区警固１丁目１５－５１  周辺mapを見る,Ｒｉｃｈ　Ｓｔａｇｅ　上人橋  605,福岡市七隈線薬院大通駅 徒歩8分 西鉄天神大牟田線薬院駅 徒歩12分 福岡市空港線天神駅 徒歩14分 ,33㎡ / 約9.98坪,nan,1K,Ｋ2／洋12, 西,nan,nan,nan,空無,nan,　,nan,nan,無,2ヶ月 / 16.2万円,nan,無,nan,無,5200円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上11階建,6階部分,2012[H24]年8月,空家,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ウォークインクローゼット　 システムキッチン　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 ２口コンロ　 独立洗面脱衣所　 防犯カメラ　,nan,天神徒歩圏内の立地で、お仕事もプライベートも充実すること間違いなしですね♪ぜひ、ご内覧くださいませ★駐車場の空きについては要確認,専任媒介,nan,"
",中央
6.9,99293428,2022年12月05日,2022年12月19日,福岡市中央区赤坂３丁目４－３１  周辺mapを見る,ガーデンコートけやき  607,福岡市七隈線六本松駅 徒歩11分 赤坂３丁目バス停 徒歩1分 福岡市空港線赤坂駅 徒歩14分 ,31.28㎡ / 約9.46坪,nan,1DK,ＤＫ7.5／洋4.6, 南西,nan,nan,nan,空有　1万9800円,nan,　,nan,nan,無,無,nan,無,nan,無,5000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上10階建,6階部分,1995[H7]年1月,空家,相談　,電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＢＳ端子　 システムキッチン　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,ペット相談可　 猫可　 事務所使用可　,バス停も近いので便利ですよ。駐車場の空きについては要確認,専任媒介,nan,"
",中央
7.5,99004271,2022年12月05日,2022年12月19日,福岡市中央区今泉２丁目１－３４  mapを見る,グランバーグ天神  601,福岡市七隈線薬院大通駅 徒歩7分 今泉１丁目バス停 徒歩4分 駅までmap 西鉄天神大牟田線西鉄福岡（天神）駅 徒歩10分 駅までmap ,38.47㎡ / 約11.64坪,nan,1DK,ＤＫ7.2／洋7, 北東,nan,nan,nan,空有　1万9800円,nan,　,nan,nan,無,2ヶ月 / 15万円,nan,無,nan,無,3000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上7階建,6階部分,1995[H7]年3月,居住中,相談　,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 室内洗濯機置場　 フローリング　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 出窓　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,リノベーション　,国体道路まで歩いてすぐ。オートロック、宅配ボックスもついてます。駐車場の空きについては要確認,専任媒介,nan,"
",中央
6.8,99112225,2022年12月05日,2022年12月19日,福岡市中央区渡辺通５丁目１０－３  mapを見る,ヴィラージュ渡辺通  801,福岡市七隈線天神南駅 徒歩5分 駅までmap 西鉄天神大牟田線西鉄福岡（天神）駅 徒歩7分 駅までmap 福岡市七隈線渡辺通駅 徒歩7分 駅までmap ,26㎡ / 約7.87坪,nan,ワンルーム,洋8.6, 南東,nan,nan,nan,空有　2万900円,nan,　,nan,nan,無,1ヶ月 / 6.8万円,nan,無,nan,無,4000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上9階建,8階部分,2017[H29]年2月,居住中,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,nan,駐車場もございます(要確認）。お料理される方でもストレスなく、お料理できるほどの広々キッチン。ぜひご覧ください。駐車場の空きについては要確認,専任媒介,nan,"
",中央
3.0,99311486,2022年12月06日,2022年12月16日,福岡市中央区渡辺通２丁目3-19  周辺mapを見る,ロマネスク天神南  502号,西鉄天神大牟田線薬院駅 徒歩4分 ,13.39㎡ / 約4.05坪,nan,ワンルーム,洋 5,nan,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,3000円,無,有 全保連※契約者や条件によっては、内容が変更になる場合があります。,nan,有、16000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,入居時クリーニング代：3万3000円,nan,nan,nan,2年,nan,日勤,nan,ＲＣ,nan,nan,地上7階建,5階部分,1985[S60]年8月,空家,即時　,エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 収納スペース　 バルコニー　 エレベーター　 オートロック　 駐輪場　 コインランドリー　 オール電化　,分譲タイプ　 外観タイル張り　 事務所使用可　 高齢者相談　,担当高野　携帯０９０－５４８４－４８６６事務所使用相談,代理,nan,"
",中央
7.1,99305847,2022年12月06日,2022年12月20日,福岡市中央区唐人町１丁目4-13  mapを見る,モダンパラッツォ唐人町  0805,福岡市空港線唐人町駅 徒歩2分 駅までmap ,27.5㎡ / 約8.32坪,nan,1LDK,LDK8.0・洋3.0, 北,nan,nan,nan,無,nan,　,nan,nan,無,14.2万円,nan,無,nan,無,5000円,無,有 【株式会社JACCS】[初回保証料1万円]【株式会社Casa】[初回保証料]賃料等合計額の50％(最低保証料2万円)。[年間保証料]1万円。※契約者や条件によっては、内容が変更になる場合があります。,nan,有、2年、当社指定（例）※契約者や条件によっては、内容が変更になる場合があります。,0.5ヶ月 ,カギ交換費用：1万7600円,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上10階建,8階部分,2015[H27]年6月,居住中,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 温水洗浄便座　 ＢＳ端子　 シャンプードレッサー　 室内洗濯機置場　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 バイク置場(屋外）　 ブロードバンド　,角部屋　,駐車場：無しお問合せ番号 971640-0805 Casa必須 インターネット無料(UCOM光) ペット不可(※2021/10/31まではペット可募集物件でした) / 町会費300円（月額） / 保険料800円（月額） / 保険:800円/月,貸主,nan,"
",中央
